POS,PLAYER,Against,Venue,Match Date,BF,6s,4s,Runs,Season
62,Eoin Morgan,KTK,Jawaharlal Nehru Stadium,2011-05-05,39,2,8,66,2011
63,Kumar Sangakkara,KTK,Jawaharlal Nehru Stadium,2011-04-27,39,0,10,65,2011
64,Yuvraj Singh,CSK,DY Patil Stadium,2011-04-27,39,4,3,62,2011
65,Suresh Raina,RR,Chidambaram,2011-05-04,39,1,3,61,2011
66,Shaun Marsh,MI,Wankhede Stadium,2011-05-02,39,0,8,61,2011
67,James Hopes,RCB,Feroz Shah Kotla Ground,2011-04-26,39,0,7,54,2011
68,Suresh Raina,KTK,Jawaharlal Nehru Stadium,2011-04-18,39,1,5,50,2011
69,Michael Hussey,RCB,Chidambaram,2011-05-28,40,3,3,63,2011
70,Jacques Kallis,MI,Eden Gardens,2011-05-22,40,3,4,59,2011
71,AB de Villiers,KTK,Jawaharlal Nehru Stadium,2011-04-09,40,5,1,54,2011
72,David Warner,RR,Sawai Mansingh Stadium,2011-04-12,40,1,6,54,2011
73,Brendon McCullum,MI,Wankhede Stadium,2011-04-15,41,2,10,81,2011
74,Suresh Raina,RCB,Wankhede Stadium,2011-05-24,41,6,4,73,2011
75,Ambati Rayudu,RCB,M. Chinnaswamy Stadium,2011-04-12,41,0,9,63,2011
76,James Hopes,MI,Wankhede Stadium,2011-05-07,41,0,10,55,2011
77,Subramaniam Badrinath,DC,Chidambaram,2011-05-12,41,1,6,55,2011
78,Shikhar Dhawan,KKR,Rajiv Gandhi Intl. Cricket Stadium,2011-05-03,41,1,4,54,2011
79,Brad Hodge,CSK,Chidambaram,2011-05-18,41,2,3,51,2011
80,Michael Hussey,RCB,Chidambaram,2011-04-16,42,1,11,83,2011
81,Michael Hussey,PWI,Chidambaram,2011-04-25,42,1,6,61,2011
82,Sachin Tendulkar,RCB,M. Chinnaswamy Stadium,2011-04-12,42,0,7,55,2011
83,Ryan McLaren,PWI,DY Patil Stadium,2011-04-10,42,1,6,51,2011
84,Sachin Tendulkar,KTK,Wankhede Stadium,2011-04-15,43,3,12,100,2011
85,Johan Botha,DEC,Rajiv Gandhi Intl. Cricket Stadium,2011-04-09,43,1,8,67,2011
86,Srikkanth Anirudha,KKR,Chidambaram,2011-04-08,43,2,6,64,2011
87,Manish Pandey,MI,DY Patil Stadium,2011-05-04,43,3,4,59,2011
88,Gautam Gambhir,PWI,DY Patil Stadium,2011-05-19,43,0,7,54,2011
89,Virat Kohli,DEC,Rajiv Gandhi Intl. Cricket Stadium,2011-04-14,44,3,5,71,2011
90,Jacques Kallis,DEC,Eden Gardens,2011-04-11,44,1,7,53,2011
91,Sachin Tendulkar,KXIP,Wankhede Stadium,2011-05-02,44,1,3,51,2011
92,David Warner,DEC,Feroz Shah Kotla Ground,2011-04-19,44,1,5,51,2011
