POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,Nationality,Player Link,Team,Season
44,Kumar Sangakkara,12,12,1,200,82,18.18,184,108.69,0,1,21,4,Overseas,,Nan,2012
45,Ross Taylor,12,12,2,197,55,19.7,171,115.2,0,1,12,7,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/226/ross-taylor,Delhi Capitals,2012
46,Subramaniam Badrinath,15,9,2,196,57,28.0,181,108.28,0,1,23,2,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/12/subramaniam-badrinath,Chennai Super Kings,2012
47,Yusuf Pathan,17,16,6,194,40,19.4,169,114.79,0,0,10,7,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/96/yusuf-pathan,Kolkata Knight Riders,2012
48,Parthiv Patel,14,13,2,194,45,17.63,165,117.57,0,0,19,4,Indian,,Nan,2012
49,Ravindra Jadeja,19,14,2,191,48,15.91,151,126.49,0,0,13,9,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/9/ravindra-jadeja,Chennai Super Kings,2012
50,Saurabh Tiwary,15,11,3,191,36,23.87,170,112.35,0,0,9,8,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/163/saurabh-tiwary,Royal Challengers Bangalore,2012
51,Azhar Mahmood,11,10,2,186,36,23.25,142,130.98,0,0,16,8,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/194/azhar-mahmood,Kings Xi Punjab,2012
52,Irfan Pathan,17,12,5,176,42,25.14,126,139.68,0,0,14,6,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/49/irfan-pathan,Delhi Capitals,2012
53,Adam Gilchrist,7,7,2,172,64,34.4,143,120.27,0,1,21,4,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/65/adam-gilchrist,Kings Xi Punjab,2012
54,Dwayne Smith,7,6,2,157,87,39.25,98,160.2,0,1,18,7,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/413/dwayne-smith,Mumbai Indians,2012
55,Yogesh Nagar,13,8,3,152,43,30.4,133,114.28,0,0,13,3,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/64/yogesh-nagar,Delhi Capitals,2012
56,Dan Christian,7,7,2,145,39,29.0,118,122.88,0,0,8,6,Overseas,,Nan,2012
57,Manish Pandey,10,9,2,143,80,20.42,112,127.67,0,1,12,6,Indian,,Nan,2012
58,Nitin Saini,10,10,0,140,50,14.0,141,99.29,0,1,16,0,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/73/nitin-saini,Kings Xi Punjab,2012
59,Venugopal Rao,10,7,1,132,36,22.0,126,104.76,0,0,8,5,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/62/venugopal-rao,Delhi Capitals,2012
60,Angelo Mathews,9,8,1,127,35,18.14,108,117.59,0,0,5,4,Overseas,,Nan,2012
61,Debabrata Das,15,10,7,126,35,42.0,93,135.48,0,0,9,6,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/259/debabrata-das,Kolkata Knight Riders,2012
62,Marlon Samuels,8,8,1,124,46,17.71,123,100.81,0,0,7,5,Overseas,,Nan,2012
63,Mithun Manhas,10,7,3,120,42,30.0,96,125.0,0,0,10,4,Indian,,Nan,2012
64,Daniel Harris,4,4,0,111,47,27.75,101,109.9,0,0,11,5,Overseas,,Nan,2012
65,Harbhajan Singh,17,11,2,108,33,12.0,80,135.0,0,0,14,3,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/103/harbhajan-singh,Mumbai Indians,2012
66,Albie Morkel,16,12,5,107,28,15.28,68,157.35,0,0,5,6,Overseas,https://www.iplt20.com/teams/chennai-super-kings/squad/26/albie-morkel,Chennai Super Kings,2012
67,Piyush Chawla,16,12,4,106,21,13.25,88,120.45,0,0,9,4,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/76/piyush-chawla,Kings Xi Punjab,2012
68,David Miller,6,6,3,98,34,32.66,75,130.66,0,0,6,4,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/187/david-miller,Kings Xi Punjab,2012
69,Michael Clarke,6,6,0,98,41,16.33,93,105.37,0,0,12,0,Overseas,,Nan,2012
70,Shakib Al Hasan,8,7,1,91,42,15.16,74,122.97,0,0,6,3,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/201/shakib-al-hasan,Kolkata Knight Riders,2012
71,Stuart Binny,8,6,2,90,30,22.5,67,134.32,0,0,9,3,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/148/stuart-binny,Rajasthan Royals,2012
72,Anustup Majumdar,4,4,0,87,31,21.75,76,114.47,0,0,7,2,Indian,,Nan,2012
73,Gurkeerat Mann Singh,5,4,1,86,29,28.66,52,165.38,0,0,12,2,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/253/gurkeerat-mann-singh,Kings Xi Punjab,2012
74,Richard Levi,6,6,0,83,50,13.83,73,113.69,0,1,10,4,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/266/richard-levi,Mumbai Indians,2012
75,Herschelle Gibbs,3,3,1,81,66,40.5,88,92.04,0,1,8,2,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/212/herschelle-gibbs,Mumbai Indians,2012
76,Laxmi Ratan Shukla,11,8,2,75,26,12.5,57,131.57,0,0,4,5,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/88/laxmi-ratan-shukla,Kolkata Knight Riders,2012
77,Akshath Reddy,5,3,0,73,42,24.33,59,123.72,0,0,6,2,Indian,,Nan,2012
78,Bipul Sharma,5,4,1,72,35,24.0,47,153.19,0,0,6,3,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/69/bipul-sharma,Kings Xi Punjab,2012
79,Shreevats Goswami,11,6,1,69,24,13.8,67,102.98,0,0,4,1,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/95/shreevats-goswami,Rajasthan Royals,2012
80,Vinay Kumar,15,7,2,68,25,13.6,62,109.67,0,0,3,2,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/166/vinay-kumar,Royal Challengers Bangalore,2012
81,Siddharth Chitnis,6,4,1,66,38,22.0,62,106.45,0,0,7,1,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/80/siddharth-chitnis,Kings Xi Punjab,2012
82,Johan Botha,11,7,3,58,14,14.5,54,107.4,0,0,4,1,Overseas,https://www.iplt20.com/teams/rajasthan-royals/squad/224/johan-botha,Rajasthan Royals,2012
83,Aaron Finch,2,2,0,55,30,27.5,51,107.84,0,0,8,0,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/167/aaron-finch,Delhi Capitals,2012
84,Lasith Malinga,14,6,0,55,17,9.16,53,103.77,0,0,4,3,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/211/lasith-malinga,Mumbai Indians,2012
85,Callum Ferguson,4,4,0,50,23,12.5,63,79.36,0,0,3,0,Overseas,,Nan,2012
86,Andrew McDonald,4,3,1,47,30,23.5,35,134.28,0,0,6,2,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/234/andrew-mcdonald,Royal Challengers Bangalore,2012
87,Andre Russell,4,2,0,47,31,23.5,26,180.76,0,0,3,3,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/177/andre-russell,Delhi Capitals,2012
88,Abhishek Nayar,4,4,1,45,24,15.0,49,91.83,0,0,2,1,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/66/abhishek-nayar,Kings Xi Punjab,2012
89,Brett Lee,10,3,1,42,25,21.0,20,210.0,0,0,2,4,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/196/brett-lee,Kolkata Knight Riders,2012
90,Bhuvneshwar Kumar,11,9,6,40,11,13.33,40,100.0,0,0,4,0,Indian,,Nan,2012
91,Kevon Cooper,6,4,2,38,14,19.0,20,190.0,0,0,3,3,Overseas,https://www.iplt20.com/teams/rajasthan-royals/squad/232/kevon-cooper,Rajasthan Royals,2012
92,Bharat Chipli,5,4,1,37,25,12.33,35,105.71,0,0,3,2,Indian,,Nan,2012
93,Pawan Negi,8,4,2,36,14,18.0,29,124.13,0,0,4,1,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/53/pawan-negi,Delhi Capitals,2012
94,Unmukt Chand,2,2,0,36,18,18.0,34,105.88,0,0,2,3,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/60/unmukt-chand,Delhi Capitals,2012
95,Rajat Bhatia,17,6,3,35,12,11.66,28,125.0,0,0,4,0,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/92/rajat-bhatia,Kolkata Knight Riders,2012
96,Praveen Kumar,16,7,4,35,10,11.66,30,116.66,0,0,2,1,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/77/praveen-kumar,Kings Xi Punjab,2012
97,Ashish Reddy,9,6,2,35,10,8.75,29,120.68,0,0,3,1,Indian,,Nan,2012
98,Robin Peterson,5,5,2,32,16,10.66,30,106.66,0,0,3,1,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/214/robin-peterson,Mumbai Indians,2012
99,Daniel Vettori,9,6,2,31,20,7.75,26,119.23,0,0,3,1,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/243/daniel-vettori,Royal Challengers Bangalore,2012
100,Paul Valthaty,6,6,0,30,13,5.0,51,58.82,0,0,4,0,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/75/paul-valthaty,Kings Xi Punjab,2012
1,Chris Gayle,12,12,3,608,107,67.55,332,183.13,2,3,57,44,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/236/chris-gayle,Royal Challengers Bangalore,2011
2,Virat Kohli,16,16,4,557,71,46.41,460,121.08,0,4,55,16,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/164/virat-kohli,Royal Challengers Bangalore,2011
3,Sachin Tendulkar,16,16,3,553,100,42.53,488,113.31,1,2,67,5,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/97/sachin-tendulkar,Mumbai Indians,2011
4,Shaun Marsh,14,13,1,504,95,42.0,344,146.51,0,4,52,20,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/191/shaun-marsh,Kings Xi Punjab,2011
5,Michael Hussey,14,14,2,492,83,41.0,414,118.84,0,4,53,6,Overseas,https://www.iplt20.com/teams/chennai-super-kings/squad/20/michael-hussey,Chennai Super Kings,2011
6,Paul Valthaty,14,14,1,463,120,35.61,338,136.98,1,2,56,20,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/75/paul-valthaty,Kings Xi Punjab,2011
7,Suresh Raina,16,16,2,438,73,31.28,325,134.76,0,4,36,17,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/14/suresh-raina,Chennai Super Kings,2011
8,Murali Vijay,16,16,0,434,95,27.12,339,128.02,0,3,34,20,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/7/murali-vijay,Chennai Super Kings,2011
9,Virender Sehwag,11,11,0,424,119,38.54,240,176.66,1,2,51,18,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/45/virender-sehwag,Delhi Capitals,2011
10,Jacques Kallis,15,14,2,424,80,35.33,378,112.16,0,4,46,6,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/198/jacques-kallis,Kolkata Knight Riders,2011
11,Shikhar Dhawan,14,14,2,400,95,33.33,310,129.03,0,2,47,7,Indian,,Nan,2011
12,Subramaniam Badrinath,16,13,6,396,71,56.57,313,126.51,0,5,38,9,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/12/subramaniam-badrinath,Chennai Super Kings,2011
13,Ambati Rayudu,16,16,2,395,63,28.21,350,112.85,0,4,44,9,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/100/ambati-rayudu,Mumbai Indians,2011
14,MS Dhoni,16,13,4,392,70,43.55,247,158.7,0,2,25,23,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/1/ms-dhoni,Chennai Super Kings,2011
15,Adam Gilchrist,14,14,0,383,106,27.35,295,129.83,1,2,41,18,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/65/adam-gilchrist,Kings Xi Punjab,2011
16,Gautam Gambhir,15,15,4,378,75,34.36,317,119.24,0,2,44,3,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/84/gautam-gambhir,Kolkata Knight Riders,2011
17,Rohit Sharma,16,14,3,372,87,33.81,297,125.25,0,3,32,13,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/107/rohit-sharma,Mumbai Indians,2011
18,Manoj Tiwary,15,14,7,359,61,51.28,325,110.46,0,1,26,14,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/89/manoj-tiwary,Kolkata Knight Riders,2011
19,Kumar Sangakkara,13,13,0,358,65,27.53,293,122.18,0,1,44,5,Overseas,,Nan,2011
20,Brendon McCullum,13,13,0,357,81,27.46,275,129.81,0,1,35,16,Overseas,,Nan,2011
21,Rahul Dravid,12,12,1,343,66,31.18,314,109.23,0,1,45,2,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/131/rahul-dravid,Rajasthan Royals,2011
22,Yuvraj Singh,14,13,3,343,66,34.3,261,131.41,0,2,24,18,Indian,,Nan,2011
23,Venugopal Rao,14,14,2,336,60,28.0,280,120.0,0,1,30,13,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/62/venugopal-rao,Delhi Capitals,2011
24,Shane Watson,11,11,1,330,89,33.0,253,130.43,0,1,31,17,Overseas,https://www.iplt20.com/teams/rajasthan-royals/squad/227/shane-watson,Rajasthan Royals,2011
25,David Warner,13,13,0,324,77,24.92,276,117.39,0,3,34,11,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/170/david-warner,Delhi Capitals,2011
26,AB de Villiers,16,13,4,312,65,34.66,243,128.39,0,2,21,14,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/233/ab-de-villiers,Royal Challengers Bangalore,2011
27,Mahela Jayawardene,13,13,0,299,76,23.0,257,116.34,0,3,35,5,Overseas,,Nan,2011
28,Jesse Ryder,13,13,0,292,60,22.46,197,148.22,0,2,37,11,Overseas,,Nan,2011
29,Brad Hodge,14,14,6,285,51,35.62,236,120.76,0,1,26,9,Overseas,,Nan,2011
30,Yusuf Pathan,15,11,1,283,47,28.3,201,140.79,0,0,24,13,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/96/yusuf-pathan,Kolkata Knight Riders,2011
31,Ravindra Jadeja,14,12,3,283,47,31.44,228,124.12,0,0,20,14,Indian,,Nan,2011
32,Dinesh Karthik,14,13,2,282,69,25.63,220,128.18,0,1,32,7,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/102/dinesh-karthik,Kings Xi Punjab,2011
33,Robin Uthappa,14,13,3,264,45,26.4,209,126.31,0,0,27,10,Indian,,Nan,2011
34,Sunny Sohal,11,10,0,249,62,24.9,191,130.36,0,2,25,10,Indian,,Nan,2011
35,Manish Pandey,10,9,0,246,59,27.33,227,108.37,0,1,28,6,Indian,,Nan,2011
36,Johan Botha,10,9,4,230,67,46.0,198,116.16,0,1,20,2,Overseas,https://www.iplt20.com/teams/rajasthan-royals/squad/224/johan-botha,Rajasthan Royals,2011
37,Tillakaratne Dilshan,10,10,2,226,59,28.25,180,125.55,0,2,33,3,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/240/tillakaratne-dilshan,Royal Challengers Bangalore,2011
38,Bharat Chipli,14,13,5,207,61,25.87,170,121.76,0,1,21,4,Indian,,Nan,2011
39,JP Duminy,10,10,0,205,55,20.5,174,117.81,0,1,9,8,Overseas,,Nan,2011
40,Parthiv Patel,14,13,3,202,37,20.2,183,110.38,0,0,25,2,Indian,,Nan,2011
41,James Hopes,10,8,3,196,55,39.2,158,124.05,0,2,22,3,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/171/james-hopes,Delhi Capitals,2011
42,Dan Christian,14,13,2,190,30,17.27,159,119.49,0,0,9,7,Overseas,,Nan,2011
43,Saurabh Tiwary,16,13,5,187,42,23.37,188,99.46,0,0,13,5,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/163/saurabh-tiwary,Royal Challengers Bangalore,2011
44,Dwaraka Ravi Teja,12,9,2,183,60,26.14,144,127.08,0,1,17,4,Indian,,Nan,2011
45,Ross Taylor,12,11,6,181,47,36.2,152,119.07,0,0,11,7,Overseas,https://www.iplt20.com/teams/rajasthan-royals/squad/226/ross-taylor,Rajasthan Royals,2011
46,Ashok Menaria,13,10,1,180,34,20.0,152,118.42,0,0,10,10,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/139/ashok-menaria,Rajasthan Royals,2011
47,Naman Ojha,14,14,1,160,29,12.3,161,99.37,0,0,11,11,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/52/naman-ojha,Delhi Capitals,2011
48,Irfan Pathan,14,12,4,150,44,18.75,138,108.69,0,0,12,6,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/49/irfan-pathan,Delhi Capitals,2011
49,Kieron Pollard,16,13,3,146,28,14.6,133,109.77,0,0,12,6,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/210/kieron-pollard,Mumbai Indians,2011
50,Mayank Agarwal,8,7,0,141,41,20.14,120,117.5,0,0,16,4,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/158/mayank-agarwal,Royal Challengers Bangalore,2011
51,Albie Morkel,15,13,7,138,30,23.0,102,135.29,0,0,8,8,Overseas,https://www.iplt20.com/teams/chennai-super-kings/squad/26/albie-morkel,Chennai Super Kings,2011
52,Eoin Morgan,12,9,0,137,66,15.22,117,117.09,0,1,17,3,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/197/eoin-morgan,Kolkata Knight Riders,2011
53,Andrew Symonds,11,9,5,135,44,33.75,138,97.82,0,0,9,3,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/206/andrew-symonds,Mumbai Indians,2011
54,Ajinkya Rahane,10,7,1,120,52,20.0,98,122.44,0,1,12,2,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/135/ajinkya-rahane,Rajasthan Royals,2011
55,Aiden Blizzard,6,6,0,120,51,20.0,87,137.93,0,1,21,2,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/205/aiden-blizzard,Mumbai Indians,2011
56,Mithun Manhas,10,10,0,114,35,11.4,123,92.68,0,0,8,4,Indian,,Nan,2011
57,Yogesh Nagar,11,10,3,111,23,15.85,100,111.0,0,0,6,6,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/64/yogesh-nagar,Delhi Capitals,2011
