POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,Nationality,Player Link,Team,Season
44,Shaun Marsh,6,6,1,159,56,31.8,134,118.65,0,1,13,4,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/191/shaun-marsh,Kings Xi Punjab,2016
45,Hashim Amla,6,6,0,157,96,26.16,119,131.93,0,1,20,4,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/456/hashim-amla,Kings Xi Punjab,2016
46,Thisara Perera,12,10,3,150,34,21.42,93,161.29,0,0,7,11,Overseas,,Nan,2016
47,Marcus Stoinis,7,5,1,146,52,36.5,108,135.18,0,1,13,4,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/964/marcus-stoinis,Kings Xi Punjab,2016
48,Deepak Hooda,17,15,1,144,34,10.28,121,119.0,0,0,9,5,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/1556/deepak-hooda,Sunrisers Hyderabad,2016
49,Naman Ojha,17,13,3,136,37,13.6,138,98.55,0,0,7,5,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/52/naman-ojha,Sunrisers Hyderabad,2016
50,Usman Khawaja,6,6,0,127,30,21.16,100,127.0,0,0,14,3,Overseas,,Nan,2016
51,Kane Williamson,6,6,0,124,50,20.66,122,101.63,0,1,14,0,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/440/kane-williamson,Sunrisers Hyderabad,2016
52,Eoin Morgan,7,6,1,123,51,24.6,105,117.14,0,1,8,4,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/197/eoin-morgan,Sunrisers Hyderabad,2016
53,Sachin Baby,11,6,1,119,33,23.8,79,150.63,0,0,9,5,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/1115/sachin-baby,Royal Challengers Bangalore,2016
54,Shakib Al Hasan,10,7,2,114,66,22.8,106,107.54,0,1,7,5,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/201/shakib-al-hasan,Kolkata Knight Riders,2016
55,Gurkeerat Mann Singh,7,6,1,113,51,22.6,86,131.39,0,1,11,3,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/253/gurkeerat-mann-singh,Kings Xi Punjab,2016
56,Axar Patel,14,10,3,111,36,15.85,77,144.15,0,0,4,8,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/1113/axar-patel,Kings Xi Punjab,2016
57,Nitish Rana,4,3,0,104,70,34.66,75,138.66,0,1,7,8,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/2738/nitish-rana,Mumbai Indians,2016
58,Dwayne Bravo,15,13,5,99,22,12.37,82,120.73,0,0,11,1,Overseas,,Nan,2016
59,Harbhajan Singh,14,7,4,92,45,30.66,84,109.52,0,0,11,2,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/103/harbhajan-singh,Mumbai Indians,2016
60,Sam Billings,5,4,0,88,54,22.0,64,137.5,0,1,4,4,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/2756/sam-billings,Delhi Capitals,2016
61,George Bailey,6,5,1,84,34,21.0,98,85.71,0,0,9,2,Overseas,,Nan,2016
62,Carlos Brathwaite,8,6,0,83,34,13.83,38,218.42,0,0,6,8,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/2722/carlos-brathwaite,Delhi Capitals,2016
63,James Faulkner,7,5,2,77,32,25.66,59,130.5,0,0,7,0,Overseas,,Nan,2016
64,Kevin Pietersen,4,4,2,73,37,36.5,61,119.67,0,0,4,3,Overseas,,Nan,2016
65,Sarfaraz Khan,5,4,2,66,35,33.0,31,212.9,0,0,7,4,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/1564/sarfaraz-khan,Royal Challengers Bangalore,2016
66,Ben Cutting,4,4,2,65,39,32.5,34,191.17,0,0,4,6,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/913/ben-cutting,Sunrisers Hyderabad,2016
67,Stuart Binny,14,6,3,63,21,21.0,39,161.53,0,0,5,4,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/148/stuart-binny,Royal Challengers Bangalore,2016
68,Pawan Negi,8,6,4,57,19,28.5,59,96.61,0,0,2,3,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/53/pawan-negi,Delhi Capitals,2016
69,Martin Guptill,3,3,0,57,48,19.0,55,103.63,0,0,3,3,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/431/martin-guptill,Mumbai Indians,2016
70,Travis Head,3,3,1,54,37,27.0,40,135.0,0,0,3,2,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/1020/travis-head,Royal Challengers Bangalore,2016
71,Bipul Sharma,7,4,2,51,27,25.5,25,204.0,0,0,1,5,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/69/bipul-sharma,Sunrisers Hyderabad,2016
72,Ashish Reddy,4,3,1,47,32,23.5,29,162.06,0,0,2,4,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/34/ashish-reddy,Sunrisers Hyderabad,2016
73,Hardik Pandya,11,9,2,44,9,6.28,63,69.84,0,0,4,0,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/2740/hardik-pandya,Mumbai Indians,2016
74,Bhuvneshwar Kumar,17,8,2,43,21,7.16,27,159.25,0,0,6,1,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/116/bhuvneshwar-kumar,Sunrisers Hyderabad,2016
75,Ishan Kishan,5,5,0,42,27,8.4,41,102.43,0,0,5,0,Indian,,Nan,2016
76,Kedar Jadhav,4,3,3,42,25,0.0,32,131.25,0,0,2,2,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/297/kedar-jadhav,Royal Challengers Bangalore,2016
77,Ravichandran Ashwin,14,6,4,41,29,20.5,38,107.89,0,0,3,1,Indian,,Nan,2016
78,Iqbal Abdulla,8,2,2,37,33,0.0,27,137.03,0,0,4,1,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/85/iqbal-abdulla,Royal Challengers Bangalore,2016
79,Karn Sharma,5,3,3,36,26,0.0,30,120.0,0,0,3,1,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/1118/karn-sharma,Sunrisers Hyderabad,2016
80,Rajat Bhatia,10,6,5,34,21,34.0,20,170.0,0,0,1,2,Indian,,Nan,2016
81,Mitchell McClenaghan,14,5,2,34,20,11.33,23,147.82,0,0,2,3,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/730/mitchell-mcclenaghan,Mumbai Indians,2016
82,Mohit Sharma,14,6,2,32,15,8.0,26,123.07,0,0,3,1,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/1107/mohit-sharma,Kings Xi Punjab,2016
83,Shreyas Iyer,6,6,0,30,19,5.0,43,69.76,0,0,2,1,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/1563/shreyas-iyer,Delhi Capitals,2016
84,Colin Munro,4,3,0,30,16,10.0,30,100.0,0,0,3,0,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/773/colin-munro,Kolkata Knight Riders,2016
85,Tim Southee,11,4,1,30,25,10.0,19,157.89,0,0,1,2,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/307/tim-southee,Mumbai Indians,2016
86,Praveen Kumar,16,7,3,28,15,7.0,27,103.7,0,0,4,0,Indian,,Nan,2016
87,Mayank Agarwal,3,3,0,27,10,9.0,25,108.0,0,0,3,1,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/158/mayank-agarwal,Delhi Capitals,2016
88,Piyush Chawla,12,3,0,27,11,9.0,26,103.84,0,0,4,0,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/76/piyush-chawla,Kolkata Knight Riders,2016
89,Chris Lynn,2,2,1,25,15,25.0,22,113.63,0,0,0,1,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/179/chris-lynn,Kolkata Knight Riders,2016
90,Rajagopal Sathish,4,3,0,24,10,8.0,24,100.0,0,0,1,1,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/78/rajagopal-sathish,Kolkata Knight Riders,2016
91,Eklavya Dwivedi,4,2,0,24,19,12.0,14,171.42,0,0,2,2,Indian,,Nan,2016
92,Dhawal Kulkarni,14,5,3,23,6,11.5,15,153.33,0,0,2,0,Indian,,Nan,2016
93,Nikhil Naik,2,2,0,23,22,11.5,31,74.19,0,0,1,0,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/2732/nikhil-naik,Kings Xi Punjab,2016
94,Jason Holder,4,4,0,22,13,5.5,19,115.78,0,0,2,1,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/1075/jason-holder,Kolkata Knight Riders,2016
95,Akshdeep Nath,4,3,0,20,12,6.66,27,74.07,0,0,1,0,Indian,,Nan,2016
96,Pradeep Sahu,5,2,1,19,18,19.0,13,146.15,0,0,1,1,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/2745/pradeep-sahu,Kings Xi Punjab,2016
97,Albie Morkel,2,1,0,16,16,16.0,9,177.77,0,0,0,2,Overseas,,Nan,2016
98,Rishi Dhawan,2,2,2,14,11,0.0,6,233.33,0,0,0,1,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/1088/rishi-dhawan,Kings Xi Punjab,2016
99,Farhaan Behardien,3,3,1,14,9,7.0,13,107.69,0,0,2,0,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/457/farhaan-behardien,Kings Xi Punjab,2016
100,Vinay Kumar,3,2,1,13,12,13.0,12,108.33,0,0,0,1,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/166/vinay-kumar,Mumbai Indians,2016
1,David Warner,14,14,1,562,91,43.23,359,156.54,0,7,65,21,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/170/david-warner,Sunrisers Hyderabad,2015
2,Ajinkya Rahane,14,13,2,540,91,49.09,413,130.75,0,4,53,13,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/135/ajinkya-rahane,Rajasthan Royals,2015
3,Lendl Simmons,13,13,1,540,71,45.0,441,122.44,0,6,56,21,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/595/lendl-simmons,Mumbai Indians,2015
4,AB de Villiers,16,14,3,513,133,46.63,293,175.08,1,2,60,22,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/233/ab-de-villiers,Royal Challengers Bangalore,2015
5,Virat Kohli,16,16,5,505,82,45.9,386,130.82,0,3,35,23,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/164/virat-kohli,Royal Challengers Bangalore,2015
6,Chris Gayle,14,14,2,491,117,40.91,333,147.44,1,2,39,38,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/236/chris-gayle,Royal Challengers Bangalore,2015
7,Rohit Sharma,16,16,2,482,98,34.42,333,144.74,0,3,41,21,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/107/rohit-sharma,Mumbai Indians,2015
8,Shreyas Iyer,14,14,1,439,83,33.76,342,128.36,0,4,41,21,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/1563/shreyas-iyer,Delhi Capitals,2015
9,Brendon McCullum,14,14,1,436,100,33.53,280,155.71,1,2,51,23,Overseas,https://www.iplt20.com/teams/chennai-super-kings/squad/202/brendon-mccullum,Chennai Super Kings,2015
10,Kieron Pollard,16,14,3,419,70,38.09,256,163.67,0,2,28,28,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/210/kieron-pollard,Mumbai Indians,2015
11,JP Duminy,14,13,3,414,78,41.4,315,131.42,0,4,27,20,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/182/jp-duminy,Delhi Capitals,2015
12,Dwayne Smith,16,16,0,399,62,24.93,335,119.1,0,2,52,16,Overseas,https://www.iplt20.com/teams/chennai-super-kings/squad/413/dwayne-smith,Chennai Super Kings,2015
13,Faf du Plessis,17,15,2,380,55,29.23,304,125.0,0,1,37,5,Overseas,https://www.iplt20.com/teams/chennai-super-kings/squad/24/faf-du-plessis,Chennai Super Kings,2015
14,Suresh Raina,17,17,2,374,62,24.93,304,123.02,0,2,31,16,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/14/suresh-raina,Chennai Super Kings,2015
15,MS Dhoni,17,17,5,372,53,31.0,305,121.96,0,1,27,17,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/1/ms-dhoni,Chennai Super Kings,2015
16,Robin Uthappa,13,13,1,364,80,30.33,277,131.4,0,1,42,7,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/127/robin-uthappa,Kolkata Knight Riders,2015
17,David Miller,13,13,2,357,89,32.45,266,134.21,0,2,21,21,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/187/david-miller,Kings Xi Punjab,2015
18,Shikhar Dhawan,14,14,1,353,54,27.15,286,123.42,0,3,45,6,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/41/shikhar-dhawan,Sunrisers Hyderabad,2015
19,Shane Watson,10,9,1,347,104,43.37,257,135.01,1,1,37,14,Overseas,https://www.iplt20.com/teams/rajasthan-royals/squad/227/shane-watson,Rajasthan Royals,2015
20,Parthiv Patel,14,14,1,339,59,26.07,246,137.8,0,2,47,5,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/44/parthiv-patel,Mumbai Indians,2015
21,Gautam Gambhir,13,13,0,327,60,25.15,278,117.62,0,3,41,4,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/84/gautam-gambhir,Kolkata Knight Riders,2015
22,Andre Russell,13,11,2,326,66,36.22,169,192.89,0,3,35,19,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/177/andre-russell,Kolkata Knight Riders,2015
23,Yusuf Pathan,13,12,5,312,52,44.57,231,135.06,0,1,29,12,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/96/yusuf-pathan,Kolkata Knight Riders,2015
24,Steve Smith,14,12,1,293,79,26.63,221,132.57,0,2,33,3,Overseas,https://www.iplt20.com/teams/rajasthan-royals/squad/271/steve-smith,Rajasthan Royals,2015
25,Moises Henriques,9,9,2,287,74,41.0,211,136.01,0,2,19,13,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/388/moises-henriques,Sunrisers Hyderabad,2015
26,Ambati Rayudu,15,14,5,281,53,31.22,193,145.59,0,1,18,16,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/100/ambati-rayudu,Mumbai Indians,2015
27,George Bailey,13,13,2,259,61,23.54,190,136.31,0,2,22,7,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/19/george-bailey,Kings Xi Punjab,2015
28,Murali Vijay,11,11,0,251,39,22.81,228,110.08,0,0,27,8,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/7/murali-vijay,Kings Xi Punjab,2015
29,Wriddhiman Saha,14,13,0,249,42,19.15,197,126.39,0,0,16,10,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/16/wriddhiman-saha,Kings Xi Punjab,2015
30,Yuvraj Singh,14,13,0,248,57,19.07,210,118.09,0,2,23,10,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/113/yuvraj-singh,Delhi Capitals,2015
31,Manish Pandey,13,12,1,225,40,20.45,184,122.28,0,0,22,7,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/123/manish-pandey,Kolkata Knight Riders,2015
32,Mayank Agarwal,10,10,1,213,68,23.66,177,120.33,0,2,23,7,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/158/mayank-agarwal,Delhi Capitals,2015
33,Axar Patel,14,12,3,206,40,22.88,174,118.39,0,0,13,8,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/1113/axar-patel,Kings Xi Punjab,2015
34,Sanju Samson,14,11,1,204,76,20.4,163,125.15,0,1,16,8,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/258/sanju-samson,Rajasthan Royals,2015
35,Dwayne Bravo,17,14,5,195,62,21.66,148,131.75,0,1,22,5,Overseas,https://www.iplt20.com/teams/chennai-super-kings/squad/25/dwayne-bravo,Chennai Super Kings,2015
36,Kedar Jadhav,14,12,4,189,63,23.62,140,135.0,0,1,16,7,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/297/kedar-jadhav,Delhi Capitals,2015
37,Eoin Morgan,9,9,1,187,63,23.37,151,123.84,0,1,11,11,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/197/eoin-morgan,Sunrisers Hyderabad,2015
38,Karun Nair,14,12,1,181,61,16.45,145,124.82,0,1,18,5,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/276/karun-nair,Rajasthan Royals,2015
39,Suryakumar Yadav,13,13,4,157,46,17.44,113,138.93,0,0,12,8,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/108/suryakumar-yadav,Kolkata Knight Riders,2015
40,Mandeep Singh,14,9,2,157,54,22.42,100,157.0,0,1,17,6,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/72/mandeep-singh,Royal Challengers Bangalore,2015
41,Deepak Hooda,14,9,0,151,54,16.77,95,158.94,0,1,6,11,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/1556/deepak-hooda,Rajasthan Royals,2015
42,Glenn Maxwell,11,11,0,145,43,13.18,112,129.46,0,0,13,8,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/282/glenn-maxwell,Kings Xi Punjab,2015
43,Ravi Bopara,9,8,3,145,41,29.0,120,120.83,0,0,6,6,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/374/ravi-bopara,Sunrisers Hyderabad,2015
44,James Faulkner,13,11,3,144,46,18.0,109,132.11,0,0,12,5,Overseas,https://www.iplt20.com/teams/rajasthan-royals/squad/193/james-faulkner,Rajasthan Royals,2015
45,Angelo Mathews,11,10,3,144,28,20.57,104,138.46,0,0,12,6,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/217/angelo-mathews,Delhi Capitals,2015
46,KL Rahul,9,8,3,142,44,28.4,126,112.69,0,0,8,5,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/1125/kl-rahul,Sunrisers Hyderabad,2015
47,Dinesh Karthik,16,11,0,141,28,12.81,117,120.51,0,0,15,4,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/102/dinesh-karthik,Royal Challengers Bangalore,2015
48,Naman Ojha,14,11,1,137,28,13.7,121,113.22,0,0,12,4,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/52/naman-ojha,Sunrisers Hyderabad,2015
49,Ravindra Jadeja,17,12,5,132,24,18.85,126,104.76,0,0,7,3,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/9/ravindra-jadeja,Chennai Super Kings,2015
50,David Wiese,14,7,3,122,47,30.5,86,141.86,0,0,12,4,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/869/david-wiese,Royal Challengers Bangalore,2015
51,Quinton de Kock,3,3,0,122,69,40.66,77,158.44,0,2,18,4,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/834/quinton-de-kock,Delhi Capitals,2015
52,Harbhajan Singh,15,10,3,117,64,16.71,73,160.27,0,1,9,9,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/103/harbhajan-singh,Mumbai Indians,2015
53,Pawan Negi,10,9,1,116,36,14.5,73,158.9,0,0,10,5,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/53/pawan-negi,Chennai Super Kings,2015
54,Corey Anderson,4,4,1,114,55,38.0,97,117.52,0,2,11,6,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/968/corey-anderson,Mumbai Indians,2015
55,Hardik Pandya,9,8,3,112,61,22.4,62,180.64,0,1,9,8,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/2740/hardik-pandya,Mumbai Indians,2015
56,Sarfaraz Khan,13,8,4,111,45,27.75,71,156.33,0,0,12,2,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/1564/sarfaraz-khan,Royal Challengers Bangalore,2015
57,Saurabh Tiwary,7,6,6,109,28,0.0,78,139.74,0,0,9,5,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/163/saurabh-tiwary,Delhi Capitals,2015
58,Karn Sharma,14,9,3,104,32,17.33,85,122.35,0,0,3,6,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/1118/karn-sharma,Sunrisers Hyderabad,2015
59,Unmukt Chand,6,5,0,102,58,20.4,83,122.89,0,1,13,2,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/60/unmukt-chand,Mumbai Indians,2015
60,Virender Sehwag,8,8,0,99,47,12.37,84,117.85,0,0,12,3,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/45/virender-sehwag,Kings Xi Punjab,2015
61,Albie Morkel,4,3,2,86,73,86.0,65,132.3,0,1,9,2,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/26/albie-morkel,Delhi Capitals,2015
62,Manan Vohra,7,7,0,82,39,11.71,81,101.23,0,0,4,5,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/1085/manan-vohra,Kings Xi Punjab,2015
63,Shaun Marsh,4,4,0,81,65,20.25,58,139.65,0,1,7,3,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/191/shaun-marsh,Kings Xi Punjab,2015
64,Michael Hussey,4,4,0,77,56,19.25,70,110.0,0,1,5,3,Overseas,https://www.iplt20.com/teams/chennai-super-kings/squad/20/michael-hussey,Chennai Super Kings,2015
65,Chris Morris,11,7,5,76,34,38.0,46,165.21,0,0,3,5,Overseas,https://www.iplt20.com/teams/rajasthan-royals/squad/836/chris-morris,Rajasthan Royals,2015
66,Stuart Binny,13,8,4,74,20,18.5,66,112.12,0,0,7,1,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/148/stuart-binny,Rajasthan Royals,2015
67,Ashish Reddy,6,5,2,73,22,24.33,46,158.69,0,0,3,5,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/34/ashish-reddy,Sunrisers Hyderabad,2015
68,Ryan ten Doeschate,6,5,2,61,38,20.33,45,135.55,0,0,4,3,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/200/ryan-ten-doeschate,Kolkata Knight Riders,2015
69,Manoj Tiwary,5,3,1,57,32,28.5,56,101.78,0,0,8,1,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/89/manoj-tiwary,Delhi Capitals,2015
70,Piyush Chawla,13,8,4,54,22,13.5,47,114.89,0,0,5,2,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/76/piyush-chawla,Kolkata Knight Riders,2015
71,Ravichandran Ashwin,14,6,3,52,23,17.33,32,162.5,0,0,6,1,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/8/ravichandran-ashwin,Chennai Super Kings,2015
72,Jagadeesha Suchith,13,6,5,48,34,48.0,32,150.0,0,0,4,2,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/2741/jagadeesha-suchith,Mumbai Indians,2015
73,Hanuma Vihari,5,4,0,39,16,9.75,35,111.42,0,0,6,0,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/1117/hanuma-vihari,Sunrisers Hyderabad,2015
74,Manvinder Bisla,2,2,0,37,20,18.5,30,123.33,0,0,6,1,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/90/manvinder-bisla,Royal Challengers Bangalore,2015
75,Shakib Al Hasan,4,3,0,36,23,12.0,27,133.33,0,0,5,0,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/201/shakib-al-hasan,Kolkata Knight Riders,2015
76,Rishi Dhawan,5,5,3,36,25,18.0,33,109.09,0,0,2,2,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/1088/rishi-dhawan,Kings Xi Punjab,2015
77,Gurkeerat Mann Singh,5,5,0,35,15,7.0,39,89.74,0,0,3,1,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/253/gurkeerat-mann-singh,Kings Xi Punjab,2015
78,Mitchell Johnson,9,8,4,31,13,7.75,36,86.11,0,0,1,1,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/213/mitchell-johnson,Kings Xi Punjab,2015
79,Kane Williamson,2,2,1,31,26,31.0,27,114.81,0,0,1,1,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/440/kane-williamson,Sunrisers Hyderabad,2015
80,Johan Botha,4,3,0,31,17,10.33,15,206.66,0,0,5,1,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/224/johan-botha,Kolkata Knight Riders,2015
81,Umesh Yadav,12,4,3,29,24,29.0,14,207.14,0,0,5,1,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/59/umesh-yadav,Kolkata Knight Riders,2015
82,Mohit Sharma,16,6,3,28,21,9.33,18,155.55,0,0,1,2,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/1107/mohit-sharma,Chennai Super Kings,2015
83,Aaron Finch,3,3,1,23,10,11.5,33,69.69,0,0,4,0,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/167/aaron-finch,Mumbai Indians,2015
84,Nathan Coulter-Nile,11,5,1,20,6,5.0,18,111.11,0,0,2,1,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/840/nathan-coulter-nile,Delhi Capitals,2015
85,Dale Steyn,6,3,2,20,19,20.0,13,153.84,0,0,3,0,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/180/dale-steyn,Sunrisers Hyderabad,2015
86,Iqbal Abdulla,5,2,0,20,20,10.0,18,111.11,0,0,4,0,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/85/iqbal-abdulla,Royal Challengers Bangalore,2015
87,Harshal Patel,15,7,2,19,9,3.8,12,158.33,0,0,0,2,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/157/harshal-patel,Royal Challengers Bangalore,2015
88,Anureet Singh,14,6,3,18,10,6.0,31,58.06,0,0,0,1,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/412/anureet-singh,Kings Xi Punjab,2015
89,Bhuvneshwar Kumar,14,3,2,17,11,17.0,10,170.0,0,0,2,1,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/116/bhuvneshwar-kumar,Sunrisers Hyderabad,2015
90,Praveen Kumar,12,4,1,17,12,5.66,25,68.0,0,0,1,0,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/77/praveen-kumar,Sunrisers Hyderabad,2015
91,Sean Abbott,2,2,0,15,14,7.5,13,115.38,0,0,1,1,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/942/sean-abbott,Royal Challengers Bangalore,2015
92,Aditya Tare,2,2,0,14,7,7.0,17,82.35,0,0,1,0,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/99/aditya-tare,Mumbai Indians,2015
93,Rilee Rossouw,2,2,0,14,14,7.0,10,140.0,0,0,1,1,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/239/rilee-rossouw,Royal Challengers Bangalore,2015
94,Tim Southee,7,3,2,13,7,13.0,9,144.44,0,0,1,0,Overseas,https://www.iplt20.com/teams/rajasthan-royals/squad/307/tim-southee,Rajasthan Royals,2015
95,Darren Sammy,2,2,0,13,7,6.5,18,72.22,0,0,0,0,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/589/darren-sammy,Royal Challengers Bangalore,2015
96,Mitchell McClenaghan,12,3,2,13,12,13.0,6,216.66,0,0,0,2,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/730/mitchell-mcclenaghan,Mumbai Indians,2015
