Date,Ground / Location,Match Number,Team A,Team B,winner,Wins By Runs,Wins By Wickets,Season
2016-02-05,"Bengaluru, Bangalore",30th Match, Royal Challengers Bangalore , Kolkata Knight Riders,Kolkata Knight Riders,0,5,2016
2016-03-05,"Khandheri, Rajkot",31st Match, Gujarat Lions , Delhi Capitals,Delhi Capitals,0,8,2016
2016-04-05,Kolkata,32nd Match, Kolkata Knight Riders , Kings XI Punjab,Kolkata Knight Riders,7,0,2016
2016-05-05,Delhi,33rd Match, Delhi Capitals , Rising Pune Supergiant,Rising Pune Supergiant,0,7,2016
2016-06-05,Hyderabad,34th Match, Sunrisers Hyderabad , Gujarat Lions,Sunrisers Hyderabad,0,5,2016
2016-07-05,"Bengaluru, Bangalore",35th Match, Royal Challengers Bangalore , Rising Pune Supergiant,Royal Challengers Bangalore,0,7,2016
2016-07-05,"Mohali, Chandigarh",36th Match, Kings XI Punjab , Delhi Capitals,Kings XI Punjab,9,0,2016
2016-08-05,Visakhapatnam,37th Match, Mumbai Indians , Sunrisers Hyderabad,Sunrisers Hyderabad,85,0,2016
2016-08-05,Kolkata,38th Match, Kolkata Knight Riders , Gujarat Lions,Gujarat Lions,0,5,2016
2016-09-05,"Mohali, Chandigarh",39th Match, Kings XI Punjab , Royal Challengers Bangalore,Royal Challengers Bangalore,1,0,2016
2016-10-05,Visakhapatnam,40th Match, Rising Pune Supergiant , Sunrisers Hyderabad,Sunrisers Hyderabad,4,0,2016
2016-11-05,"Bengaluru, Bangalore",41st Match, Royal Challengers Bangalore , Mumbai Indians,Mumbai Indians,0,6,2016
2016-12-05,Hyderabad,42nd Match, Sunrisers Hyderabad , Delhi Capitals,Delhi Capitals,0,7,2016
2016-05-13,Visakhapatnam,43rd Match, Mumbai Indians , Kings XI Punjab,Kings XI Punjab,0,7,2016
2016-05-14,"Bengaluru, Bangalore",44th Match, Royal Challengers Bangalore , Gujarat Lions,Royal Challengers Bangalore,144,0,2016
2016-05-14,Kolkata,45th Match, Kolkata Knight Riders , Rising Pune Supergiant,Kolkata Knight Riders,0,8,2016
2016-05-15,"Mohali, Chandigarh",46th Match, Kings XI Punjab , Sunrisers Hyderabad,Sunrisers Hyderabad,0,7,2016
2016-05-15,Visakhapatnam,47th Match, Mumbai Indians , Delhi Capitals,Mumbai Indians,80,0,2016
2016-05-16,Kolkata,48th Match, Kolkata Knight Riders , Royal Challengers Bangalore,Royal Challengers Bangalore,0,9,2016
2016-05-17,Visakhapatnam,49th Match, Rising Pune Supergiant , Delhi Capitals,Rising Pune Supergiant,19,0,2016
2016-05-18,"Bengaluru, Bangalore",50th Match, Royal Challengers Bangalore , Kings XI Punjab,Royal Challengers Bangalore,82,0,2016
2016-05-19,Kanpur,51st Match, Gujarat Lions , Kolkata Knight Riders,Gujarat Lions,0,6,2016
2016-05-20,Raipur,52nd Match, Delhi Capitals , Sunrisers Hyderabad,Delhi Capitals,0,6,2016
2016-05-21,Visakhapatnam,53rd Match, Rising Pune Supergiant , Kings XI Punjab,Rising Pune Supergiant,0,4,2016
2016-05-21,Kanpur,54th Match, Gujarat Lions , Mumbai Indians,Gujarat Lions,0,6,2016
2016-05-22,Kolkata,55th Match, Kolkata Knight Riders , Sunrisers Hyderabad,Kolkata Knight Riders,22,0,2016
2016-05-22,Raipur,56th Match, Delhi Capitals , Royal Challengers Bangalore,Royal Challengers Bangalore,0,6,2016
2016-05-24,"Bengaluru, Bangalore",1st Qualifying Final, Royal Challengers Bangalore , Gujarat Lions,Royal Challengers Bangalore,0,4,2016
2016-05-25,Delhi,Elimination Final, Sunrisers Hyderabad , Kolkata Knight Riders,Sunrisers Hyderabad,22,0,2016
2016-05-27,Delhi,Qualifying Final, Gujarat Lions , Sunrisers Hyderabad,Sunrisers Hyderabad,0,4,2016
2016-05-29,"Bengaluru, Bangalore",Final, Royal Challengers Bangalore , Sunrisers Hyderabad,Sunrisers Hyderabad,8,0,2016
2015-08-04,Kolkata,1st Match, Kolkata Knight Riders , Mumbai Indians,Kolkata Knight Riders,0,3,2015
2015-09-04,Chennai,2nd Match, Chennai Super Kings , Delhi Capitals,Chennai Super Kings,1,0,2015
2015-10-04,Pune,3rd Match, Kings XI Punjab , Rajasthan Royals,Rajasthan Royals,26,0,2015
2015-11-04,Chennai,4th Match, Chennai Super Kings , Sunrisers Hyderabad,Chennai Super Kings,45,0,2015
2015-11-04,Kolkata,5th Match, Kolkata Knight Riders , Royal Challengers Bangalore,Royal Challengers Bangalore,0,3,2015
2015-12-04,Delhi,6th Match, Delhi Capitals , Rajasthan Royals,Rajasthan Royals,0,3,2015
2015-12-04,Mumbai,7th Match, Mumbai Indians , Kings XI Punjab,Kings XI Punjab,18,0,2015
2015-04-13,"Bengaluru, Bangalore",8th Match, Royal Challengers Bangalore , Sunrisers Hyderabad,Sunrisers Hyderabad,0,8,2015
2015-04-14,Ahmedabad,9th Match, Rajasthan Royals , Mumbai Indians,Rajasthan Royals,0,7,2015
2015-04-15,Pune,10th Match, Kings XI Punjab , Delhi Capitals,Delhi Capitals,0,5,2015
2015-04-16,Visakhapatnam,11th Match, Sunrisers Hyderabad , Rajasthan Royals,Rajasthan Royals,0,6,2015
2015-04-17,Mumbai,12th Match, Mumbai Indians , Chennai Super Kings,Chennai Super Kings,0,6,2015
2015-04-18,Visakhapatnam,13th Match, Sunrisers Hyderabad , Delhi Capitals,Delhi Capitals,4,0,2015
2015-04-18,Pune,14th Match, Kings XI Punjab , Kolkata Knight Riders,Kolkata Knight Riders,0,4,2015
2015-04-19,Ahmedabad,15th Match, Rajasthan Royals , Chennai Super Kings,Rajasthan Royals,0,8,2015
2015-04-19,"Bengaluru, Bangalore",16th Match, Royal Challengers Bangalore , Mumbai Indians,Mumbai Indians,18,0,2015
