POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w,Nationality,Player Link,Team,Dots,Maid,Season
48,Glenn Maxwell,12,10,16.0,132,5,0,26.4,8.25,19.2,0,0,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/282/glenn-maxwell,Delhi Capitals,32.0,0.0,2018
49,Tim Southee,8,8,29.0,261,5,0,52.2,9.0,34.8,0,0,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/307/tim-southee,Royal Challengers Bangalore,59.0,0.0,2018
50,Carlos Brathwaite,4,4,10.1,94,5,0,18.8,9.24,12.2,0,0,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/2722/carlos-brathwaite,Sunrisers Hyderabad,23.0,0.0,2018
51,Shivam Mavi,9,9,28.0,270,5,0,54.0,9.64,33.6,0,0,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/3779/shivam-mavi,Kolkata Knight Riders,64.0,0.0,2018
52,Basil Thampi,4,4,10.1,114,5,0,22.8,11.21,12.2,0,0,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/3825/basil-thampi,Sunrisers Hyderabad,17.0,0.0,2018
53,Nitish Rana,15,5,6.1,44,4,0,11.0,7.13,9.25,0,0,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/2738/nitish-rana,Kolkata Knight Riders,17.0,0.0,2018
54,Dan Christian,4,4,11.5,101,4,0,25.25,8.53,17.75,0,0,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/181/dan-christian,Delhi Capitals,22.0,0.0,2018
55,Liam Plunkett,7,7,25.0,225,4,0,56.25,9.0,37.5,0,0,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/1842/liam-plunkett,Delhi Capitals,42.0,0.0,2018
56,Karn Sharma,6,5,9.3,89,4,0,22.25,9.36,14.25,0,0,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/1118/karn-sharma,Chennai Super Kings,16.0,0.0,2018
57,Dhawal Kulkarni,8,8,19.5,188,4,0,47.0,9.47,29.75,0,0,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/101/dhawal-kulkarni,Rajasthan Royals,54.0,0.0,2018
